K00259	ald; alanine dehydrogenase [EC:1.4.1.1]
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00263	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
K00264	GLT1; glutamate synthase (NADH) [EC:1.4.1.14]
K00265	gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13]
K00266	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K00270	pdh; phenylalanine dehydrogenase [EC:1.4.1.20]
K00271	vdh; valine dehydrogenase (NAD+) [EC:1.4.1.23]
K00272	DDO; D-aspartate oxidase [EC:1.4.3.1]
K00273	DAO, aao; D-amino-acid oxidase [EC:1.4.3.3]
K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]
K00275	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]
K00277	LOX; protein-lysine 6-oxidase [EC:1.4.3.13]
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]
K00280	LOXL2_3_4; lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00284	GLU, gltS; glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]
K03153	thiO; glycine oxidase [EC:1.4.3.19]
K03334	IL4I1; L-amino-acid oxidase [EC:1.4.3.2]
K03340	dapdh; diaminopimelate dehydrogenase [EC:1.4.1.16]
K03343	puo; putrescine oxidase [EC:1.4.3.10]
K05300	L-amino acid dehydrogenase [EC:1.4.5.-]
K06989	nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]
K07255	tauX; taurine dehydrogenase small subunit [EC:1.4.2.-]
K07256	tauY; taurine dehydrogenase large subunit [EC:1.4.2.-]
K08685	qhpA; quinohemoprotein amine dehydrogenase [EC:1.4.9.1]
K09471	puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]
K10814	hcnA; hydrogen cyanide synthase HcnA [EC:1.4.99.5]
K10815	hcnB; hydrogen cyanide synthase HcnB [EC:1.4.99.5]
K10816	hcnC; hydrogen cyanide synthase HcnC [EC:1.4.99.5]
K11182	AOC1, ABP1; diamine oxidase [EC:1.4.3.22]
K11646	3-dehydroquinate synthase II [EC:1.4.1.24]
