MAG_names	Assimilatory_Sulfur_Reduction	Dissimilatory_Sulfur_Reduction	Thiosulfate_Oxidation	Nitrogen_Fixation	Assimilatory_Nitrate_Reduction	Dissimilatory_Nitrate_Reduction	Denitrification	Nitrification	Comammox	Anammox	Vit_B1	Vit_B2	Vit_B7	Vit_B12_Aerobic	Vit_B12_Anaerobic
LSE_BLD_Bin_00001	N	N	N	N	Y	N	N	N	N	N	Y	Y	N	N	N
LSE_BLD_Bin_00002	Y	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	Y
LSE_BLD_Bin_00003	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
LSE_BLD_Bin_00004	Y	N	N	N	Y	N	N	N	N	N	N	Y	Y	N	N
LSE_BLD_Bin_00005	Y	N	N	N	Y	N	N	N	N	N	Y	Y	Y	N	N
LSE_BLD_Bin_00006	Y	N	N	N	Y	N	N	N	N	N	Y	Y	N	N	N
LSE_BLD_Bin_00007	Y	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N
LSE_BLD_Bin_00008	Y	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N
LSE_BLD_Bin_00009	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N
LSE_BLD_Bin_00010	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N
LSE_BLD_Bin_00011	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N
LSE_BLD_Bin_00012	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
LSE_BLD_Bin_00013	Y	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N
LSE_BLD_Bin_00014	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N
LSE_BLD_Bin_00017	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
LSE_BLD_Bin_00018	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	Y
NLE_BLD_Bin_00001	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N
NLE_BLD_Bin_00002	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N
NLE_BLD_Bin_00003	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N
NLE_BLD_Bin_00004	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00005	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00006	N	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N
NLE_BLD_Bin_00007	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00008	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N
NLE_BLD_Bin_00009	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00011	Y	N	N	N	Y	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00013	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00014	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N
NLE_BLD_Bin_00015	Y	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N
NLE_BLD_Bin_00016	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00017	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00019	Y	N	N	N	Y	N	N	N	N	N	Y	Y	N	N	N
NLE_BLD_Bin_00020	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N
NLE_BLD_Bin_00022	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00024	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N
NLE_BLD_Bin_00025	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00027	Y	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N
NLE_BLD_Bin_00028	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
NLE_BLD_Bin_00029	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00030	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N
NLE_BLD_Bin_00031	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00032	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N
NLE_BLD_Bin_00033	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
NLE_BLD_Bin_00034	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N
NLE_BLD_Bin_00035	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N
