Site	Date	exposed	spp	Replicate	DO
Hedo	07-juin-19	wtr	psc	1	20.367
Hedo	07-juin-19	wtr	psc	2	21.089
Hedo	07-juin-19	wtr	psc	3	20.735
Hedo	07-juin-19	wtr	psc	4	23.024
Hedo	07-juin-19	wtr	psc	5	21.349
Hedo	07-juin-19	wtr	psc	6	21.234
Hedo	07-juin-19	wtr	psc	7	20.537
Hedo	07-juin-19	wtr	psc	8	16.367
Hedo	07-juin-19	wtr	psc	9	19.765
Hedo	07-juin-19	rhz	psc	1	9.6521
Hedo	07-juin-19	rhz	psc	2	4.52
Hedo	07-juin-19	rhz	psc	3	4.9313
Hedo	07-juin-19	rhz	psc	4	5.2349
Hedo	07-juin-19	rhz	psc	5	11.949
Hedo	07-juin-19	rhz	psc	6	8.6564
Hedo	07-juin-19	rhz	psc	7	1.3691
Hedo	07-juin-19	rhz	psc	8	2.9963
Hedo	07-juin-19	rhz	psc	9	10.61
Hedo	08-juin-19	wtr	psc	1	10.542
Hedo	08-juin-19	wtr	psc	2	10.552
Hedo	08-juin-19	wtr	psc	3	9.4667
Hedo	08-juin-19	wtr	psc	4	10.604
Hedo	08-juin-19	wtr	psc	5	9.9054
Hedo	08-juin-19	wtr	psc	6	7.6787
Hedo	08-juin-19	rhz	psc	1	2.9389
Hedo	08-juin-19	rhz	psc	2	3.9257
Hedo	08-juin-19	rhz	psc	3	4.5155
Hedo	08-juin-19	rhz	psc	4	4.4998
Hedo	08-juin-19	rhz	psc	5	2.7525
Hedo	08-juin-19	rhz	psc	6	2.2543
SB	09-juin-19	wtr	pse	1	7.8497
SB	09-juin-19	wtr	pse	2	6.3627
SB	09-juin-19	wtr	pse	3	7.8531
SB	09-juin-19	wtr	pse	4	7.1817
SB	09-juin-19	wtr	pse	5	9.4143
SB	09-juin-19	wtr	pse	6	8.3708
SB	09-juin-19	wtr	pse	7	8.0508
SB	09-juin-19	rhz	pse	1	2.3559
SB	09-juin-19	rhz	pse	2	0.58207
SB	09-juin-19	rhz	pse	3	0.84805
SB	09-juin-19	rhz	pse	4	0.018123
SB	09-juin-19	rhz	pse	5	1.3231
SB	09-juin-19	rhz	pse	6	1.2229
SB	09-juin-19	rhz	pse	7	1.7613
Hedo	13-juin-21	wtr	psc	1	8.3965
Hedo	13-juin-21	wtr	pse	2	13.273
Hedo	13-juin-21	wtr	psc	3	13.164
Hedo	13-juin-21	wtr	pse	4	10.482
Hedo	13-juin-21	wtr	pse	5	9.9265
Hedo	13-juin-21	wtr	pse	6	11.744
Hedo	13-juin-21	wtr	psc	7	12.567
Hedo	13-juin-21	rhz	psc	1	0.66135
Hedo	13-juin-21	rhz	pse	2	0.38546
Hedo	13-juin-21	rhz	psc	3	3.0014
Hedo	13-juin-21	rhz	pse	4	0
Hedo	13-juin-21	rhz	pse	5	0.65945
Hedo	13-juin-21	rhz	pse	6	0.036864
Hedo	13-juin-21	rhz	psc	7	0
