Site	Date	exposed	spp	Replicate	DO
Hedo	07-juin-19	wtr	psc	1	20.367
Hedo	07-juin-19	wtr	psc	2	21.089
Hedo	07-juin-19	wtr	psc	3	20.735
Hedo	07-juin-19	wtr	psc	4	23.024
Hedo	07-juin-19	wtr	psc	5	21.349
Hedo	07-juin-19	wtr	psc	6	21.234
Hedo	07-juin-19	wtr	psc	7	20.537
Hedo	07-juin-19	wtr	psc	8	16.367
Hedo	07-juin-19	wtr	psc	9	19.765
Hedo	07-juin-19	rhz	psc	1	11.718
Hedo	07-juin-19	rhz	psc	2	4.5966
Hedo	07-juin-19	rhz	psc	3	4.9313
Hedo	07-juin-19	rhz	psc	4	5.9771
Hedo	07-juin-19	rhz	psc	5	13.164
Hedo	07-juin-19	rhz	psc	6	11.177
Hedo	07-juin-19	rhz	psc	7	2.8222
Hedo	07-juin-19	rhz	psc	8	3.8628
Hedo	07-juin-19	rhz	psc	9	11.051
Hedo	08-juin-19	wtr	psc	1	10.542
Hedo	08-juin-19	wtr	psc	2	10.552
Hedo	08-juin-19	wtr	psc	3	9.4667
Hedo	08-juin-19	wtr	psc	4	10.604
Hedo	08-juin-19	wtr	psc	5	9.9054
Hedo	08-juin-19	wtr	psc	6	7.6787
Hedo	08-juin-19	rhz	psc	1	3.4298
Hedo	08-juin-19	rhz	psc	2	4.2054
Hedo	08-juin-19	rhz	psc	3	4.5155
Hedo	08-juin-19	rhz	psc	4	4.4998
Hedo	08-juin-19	rhz	psc	5	4.3855
Hedo	08-juin-19	rhz	psc	6	2.9159
SB	09-juin-19	wtr	pse	1	7.8497
SB	09-juin-19	wtr	pse	2	6.3627
SB	09-juin-19	wtr	pse	3	7.8531
SB	09-juin-19	wtr	pse	4	7.1817
SB	09-juin-19	wtr	pse	5	9.4143
SB	09-juin-19	wtr	pse	6	8.3708
SB	09-juin-19	wtr	pse	7	8.0508
SB	09-juin-19	rhz	pse	1	4.2056
SB	09-juin-19	rhz	pse	2	1.689
SB	09-juin-19	rhz	pse	3	0.84805
SB	09-juin-19	rhz	pse	4	0.058839
SB	09-juin-19	rhz	pse	5	2.1687
SB	09-juin-19	rhz	pse	6	2.4605
SB	09-juin-19	rhz	pse	7	2.5159
Hedo	13-juin-21	wtr	psc	1	8.3965
Hedo	13-juin-21	wtr	pse	2	13.273
Hedo	13-juin-21	wtr	psc	3	13.164
Hedo	13-juin-21	wtr	pse	4	10.482
Hedo	13-juin-21	wtr	pse	5	9.9265
Hedo	13-juin-21	wtr	pse	6	11.744
Hedo	13-juin-21	wtr	psc	7	12.567
Hedo	13-juin-21	rhz	psc	1	1.9856
Hedo	13-juin-21	rhz	pse	2	3.1398
Hedo	13-juin-21	rhz	psc	3	4.526
Hedo	13-juin-21	rhz	pse	4	2.5127
Hedo	13-juin-21	rhz	pse	5	1.1621
Hedo	13-juin-21	rhz	pse	6	2.4723
Hedo	13-juin-21	rhz	psc	7	1.3247
