bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
PSC_SED_Bin_00001	11	10	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	None	None
PSC_SED_Bin_00002	20	20	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	None
PSC_SED_Bin_00003	12	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter	Maribacter sp000153165
PSC_SED_Bin_00004	17	8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halieaceae	Halioglobus	Halioglobus sp000156295
PSC_SED_Bin_00005	4	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	None	None
PSC_BLD_Bin_00001	5	3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Teredinibacter	Teredinibacter turnerae
PSC_BLD_Bin_00002	11	11	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	Granulosicoccus antarcticus
PSC_BLD_Bin_00003	2	1	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353	UBA7415	UBA7415	UBA7415 sp002470515
PSC_BLD_Bin_00004	16	10	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea	Hellea balneolensis
PSC_BLD_Bin_00005	10	5	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353	UBA7415	UBA7415	UBA7415 sp002470515
PSC_BLD_Bin_00006	11	11	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea	Hellea balneolensis
PSC_BLD_Bin_00007	19	19	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	None	None
PSC_BLD_Bin_00009	5	5	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	None	None
PSC_BLD_Bin_00010	1	1	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	UBA1994	UBA1994 sp002335865
PSC_BLD_Bin_00012	4	4	Bacteria	Proteobacteria	Gammaproteobacteria	None	None	None	None
PSC_BLD_Bin_00013	9	5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amylibacter	Amylibacter kogurei
PSC_BLD_Bin_00014	2	2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	None	None
PSC_BLD_Bin_00017	14	10	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter	None
PSC_BLD_Bin_00018	9	9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	None	None
PSC_RHZ_Bin_00001	12	11	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	None	None
PSC_RHZ_Bin_00002	8	8	Bacteria	None	None	None	None	None	None
PSC_RHZ_Bin_00003	4	4	Archaea	Crenarchaeota (Archaea)	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae (Archaea)	Nitrosopumilus	None
LSE_BLD_Bin_00001	15	4	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	SZUA-7	SZUA-7 sp003232155
LSE_BLD_Bin_00002	17	11	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lacinutrix	None
LSE_BLD_Bin_00003	9	8	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	Granulosicoccus antarcticus
LSE_BLD_Bin_00004	17	16	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	None
LSE_BLD_Bin_00005	4	2	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Rubritalea	Rubritalea marina
LSE_BLD_Bin_00006	6	6	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353	UBA7415	UBA7415	UBA7415 sp002470515
LSE_BLD_Bin_00007	3	3	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Leucothrix	None
LSE_BLD_Bin_00008	1	1	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	SW10	None
